Module Name,Test Case Name
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPS_RescheduleSessionIconIsDisabledForUpcominglectureGroupAndCSsessions
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPS_RescheduleSessionIsDisabledForAllSessionsUnderPreviousTab
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPS_SearchRecordsByDateFilterInAll3Tabs
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPS_ShowBrowserHistoryDisplaysBrowserHistoryOfAllMemberFromTimeOfCreation
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPS_ShowCalendarEnabledForAllCompletedAndMissedSessions
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPS_ShowMemberNotesDisabledForGroupSessions
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPS_ShowMemberNotesDisplaysTheParticularSessionCompletionNotesandPreviousNotesOfTheMember
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPS_ShowMemberNotesEnabledForAllCompletedMissedorCancelledSessionTypes
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPS_ShowNotesDisplaysNotesPertainingToCurrentIntervalOfGroupSessionUnderGroupMemberInformationForAllCompletedSessions
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPS_ShowNotesDisplaysTheNotesPertainingToCurrentIntervalOfGroupSessionUnderGroupMemberInformation
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPS_ShowNotesIsEnabledForAllCompletedMissedOrCancelledSessionTypes
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPS_ShowRatingIconDisabledForUpcomingSessionsForAllSessionTypesThatAreScheduledAndRescheduled
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPS_ShowRatingIconEnabled ForCompleted1on1AndCSSessions
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPS_SubstituteCoachForUpcomingCustomizationSessions
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPS_SubstituteCoachIconIsDisabledForAllSessionsUnderPreviousTab
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPS_SubstituteCoachIconIsDisabledForGroupAndCSsessionsWhichAreInProgressandCompletedInTheUpcomingSessionsTab
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPS_SubstituteCoachIconIsEnabledForGroupAndCSSessionInTheUpcomingSessionsTab
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPS_SubstituteCoachIconIsEnabledInTheUpcomingSessionsTabForAllScheduledSessions
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPS_ValuesUnderAllColumnsUnderPreviousSessionsForCompletedCustomizationSessions
/Real Appeal/HFOps/Classes/Timeslot Check,RA_HFOPS_Classes_HealthyBMI_Timeslot_Check_Validation
/Real Appeal/HFOps/Classes/Timeslot Check,RA_HFOPS_Classes_OptionsUnderTimeslotCheck
/Real Appeal/HFOps/Classes/Timeslot Check,RA_HFOPS_Classes_Selecting1On1AsSessionTypeForRAShowsTheSearchTextBoxFilterByCoachEmailorCoachName
/Real Appeal/HFOps/Idle Member,RA_HFOPS_IdleMember_IdleMembersPreviousHistoryOfSessionsUnderSessionsTab
